NUMMER,LABEL,AANTAL_ELEKTRISCHE_KILOMETERS,LITER_BENZINE_BESPAARD,AANTAL_UREN_ZEEUWSE_WINDMOLENS,AANTAL_GRAM_CO2_BESPAARD,ADRES,BUURTNR,BUURTCODE,BUURTNAAM,XCOORD,YCOORD,COUNTER,X,Y,LONG,LAT
557,GDH530,13978,932,6,2228954,Zweeloostraat to 34,88,BU05183488,Morgenstond-west,78324,451743,557,78324,451743,4.269.404.208.194.450,5.204.869.085.002.000
558,GDH531,36898,2460,17,5884045,Van Stienhovenstraat to 15,77,BU05180477,Waalsdorp,81823,457282,558,81823,457282,4.319.217.048.477.750,5.209.894.164.878.290
559,GDH532,23138,1543,11,3689687,Meidoornstraat to 34,54,BU05182054,Heesterbuurt,78627,453996,559,78627,453996,4.273.316.815.996.480,52.068.979.698.789.100
560,GDH533,20645,1376,10,3292180,Thomsonlaan 248,51,BU05181251,Bloemenbuurt-oost,78017,454874,560,78017,454874,4.264.223.663.956.230,52.076.785.534.649.800
561,GDH534,22827,1522,11,3640101,Hollanderstraat 88,43,BU05181143,Sweelinckplein e.o.,79195,455621,561,79195,455621,4.281.238.525.561.380,5.208.366.108.503.100
562,GDH535,39026,2602,18,6223346,Steurendaal 44,97,BU05181697,Kraayenstein en Vroondaal,76123,451470,562,76123,451470,4.237.386.666.353.210,52.045.928.642.140.400
563,GDH536,113404,7560,52,18084220,Jacob Mosselstraat nabij 107,65,BU05182665,Bezuidenhout-midden,83215,455186,563,83215,455186,4.339.970.625.666.480,52.080.287.606.953.700
564,GDH537,12300,820,6,1961360,Ampärestraat 1,55,BU05182055,Valkenboskwartier,78737,454586,564,78737,454586,4.274.789.030.717.690,5.207.429.699.295.520
565,GDH538,68663,4578,32,10949531,Rusthoekstraat 37,4,BU05180704,Visserijbuurt,79353,457677,565,79353,457677,4.283.087.104.027.700,5.210.215.927.915.700
566,GDH539,52601,3507,24,8388053,Thorbeckelaan to 254,82,BU05181882,Rosenburg,77343,453455,566,77343,453455,4.254.716.432.399.750,52.063.939.408.452.100
567,GDH540,14195,946,7,2263594,Meppelrade nabij 43,87,BU05183387,Venen Oorden en Raden,77803,451998,567,77803,451998,4.261.752.747.682.180,5.205.091.013.044.300
568,GDH541,24552,1637,11,3915279,Elviraland to 37,61,BU05182561,Landen,84914,456906,568,84914,456906,4.364.399.121.099.300,52.095.962.659.970.600
569,GDH542,25181,1679,12,4015486,Kerkuillaan to 69,112,BU05184212,Morgenweide,85832,451673,569,85832,451673,4.378.854.500.493.850,52.049.049.598.380.600
570,GDH543,27573,1838,13,4397028,Sneeuwklokjestraat to 24,51,BU05181251,Bloemenbuurt-oost,77811,454970,570,77811,454970,4.261.197.503.443.900,5.207.761.957.714.650
571,GDH544,62060,4137,29,9896501,Daguerrestraat 4,44,BU05182144,Koningsplein e.o.,79352,455016,571,79352,455016,4.283.662.837.877.030,5.207.824.561.393.190
572,GDH545,48211,3214,22,7688003,Pisuissestraat to 1,95,BU05181795,Kom Loosduinen,75836,452420,572,75836,452420,4.232.983.687.418.510,5.205.442.499.760.990
573,GDH546,14697,980,7,2343726,Meierijlaan nabij 62,102,BU05184002,Hoge Veld,80146,449911,573,80146,449911,42.963.621.755.452.100,52.032.476.151.770.000
574,GDH547,63147,4210,29,10069806,Van Boetzelaerlaan nabij 65,7,BU05180907,Statenkwartier,78612,456122,574,78612,456122,4.272.622.115.130.790,52.088.083.271.297.500
575,GDH548,38499,2567,18,6139343,Frederikstraat to 51,47,BU05182347,Willemspark,81270,455969,575,81270,455969,4.311.431.547.849.790,52.087.068.672.861.300
576,GDH549,26939,1796,12,4295899,Tomatenstraat nabij 270,53,BU05181953,Vruchtenbuurt,76902,453811,576,76902,453811,4.248.205.026.649.590,5.206.707.665.179.740
577,GDH550,31909,2127,15,5088457,Zuidwoldestraat nabij 4,88,BU05183488,Morgenstond-west,78300,452332,577,78300,452332,4.268.922.176.331.310,52.053.980.689.510.400
578,GDH551,45628,3042,21,7276172,Johan van Oldenbarneveltlaan 76,7,BU05180907,Statenkwartier,79101,457274,578,79101,457274,4.279.499.406.340.160,52.098.503.155.794.000
579,GDH552,52029,3469,24,8296838,Melkeppe 13,115,BU05184215,De Bras,86266,450284,579,86266,450284,438.545.982.851.811,5.203.662.068.120.660
580,GDH553,45250,3017,21,7215831,2e Schuytstraat nabij 29,43,BU05181143,Sweelinckplein e.o.,79464,455513,580,79464,455513,4.285.186.347.836.040,5.208.272.728.653.680
581,GDH554,30126,2008,14,4804084,Architect Berlagelaan 149,86,BU05181786,Houtwijk,77351,452863,581,77351,452863,42.549.676.813.229.700,5.205.862.043.860.900
582,GDH555,35002,2333,16,5581617,Hart Nibbrigkade nabij 4,75,BU05180475,Uilennest,82614,456623,582,82614,456623,433.089.939.268.801,5.209.312.338.602.940
583,GDH556,26293,1753,12,4192786,Monacostraat hoek Madridweg,105,BU05184005,Zonne Veld,80139,448457,583,80139,448457,4.296.578.333.884.520,5.201.940.841.112.810
585,GDH558,35127,2342,16,5601656,Ypersestraat to 6,71,BU05180271,Belgisch Park,80125,458316,585,80125,458316,4.294.212.548.091.470,52.108.006.756.637.100
586,GDH559,46543,3103,21,7422101,HÑndellaan nabij 4,93,BU05181893,Componistenbuurt,76394,453616,586,76394,453616,4.240.842.553.617.870,5.206.525.241.257.270
587,GDH560,25285,1686,12,4032150,Dophei hoek Cypergras 44,115,BU05184215,De Bras,85720,449947,587,85720,449947,4.377.571.763.754.820,52.033.524.116.866.600
588,GDH561,61240,4083,28,9765756,Bilderdijkstraat 133,45,BU05182245,Zeeheldenkwartier,80537,455347,588,80537,455347,4.300.874.183.713.230,52.081.380.829.870.200
589,GDH562,27609,1841,13,4402644,Machiel Vrijenhoeklaan 175,90,BU05181590,Ockenburgh,74762,453475,589,74762,453475,421.707.990.549.176,5.206.375.133.730.440
593,GDH566,15177,1012,7,2420226,Theems to 5 / Linge 2,117,BU05184317,De Rivieren,86709,453756,593,86709,453756,4.391.221.295.242.610,5.206.787.820.406.700
594,GDH567,14004,934,6,2233198,Moezel 19,117,BU05184317,De Rivieren,86531,453261,594,86531,453261,4.388.724.917.048.140,52.063.407.690.574.500
595,GDH568,46350,3090,21,7391245,Mr. P. Droogleever Fortuynweg 55,36,BU05183536,Zuiderpark,79606,452230,595,79606,452230,42.879.827.007.132.800,5.205.324.326.412.860
597,GDH570,15377,1025,7,2452172,Televisiestraat 200,21,BU05183721,Groente- en Fruitmarkt,80662,452730,597,80662,452730,4.303.267.383.852.760,5.205.787.930.827.190
598,GDH571,396,26,0,63140,Rijnstraat to 8 9,63,BU05182763,Rivierenbuurt-Noord,78868,454673,598,78868,454673,4.276.680.117.030.720,5.207.509.685.692.360
599,GDH571B,0,0,0,0,Rijnstraat to 8 9,63,BU05182763,Rivierenbuurt-Noord,76369,451952,599,76369,451952,4.240.861.098.500.200,5.205.029.514.662.280
600,GDH572,25055,1670,12,3995464,Waldorpstraat 80,19,BU05183819,Laakhaven-Oost,82060,453917,600,82060,453917,432.339.493.228.631,52.068.732.438.033.800
601,GDH573,4306,287,2,686681,Gevers Deynootweg 125,71,BU05180271,Belgisch Park,79608,459143,601,79608,459143,4.286.483.900.946.340,5.211.536.850.837.300
602,GDH574,79978,5332,37,12753896,Galileãstraat 156,55,BU05182055,Valkenboskwartier,78868,454673,602,78868,454673,4.276.680.117.030.720,5.207.509.685.692.360
603,GDH575,28926,1928,13,4612662,J. Boezerstraat hoek GJ van Marrewijklaan 60,86,BU05181786,Houtwijk,76374,451955,603,76374,451955,4.240.933.288.009.700,5.205.032.281.584.690
604,GDH576,37707,2514,17,6013010,Laan van Kans 11,108,BU05184208,Bosweide,84614,451232,604,84614,451232,43.611.917.116.371.300,5.204.493.302.823.220
605,GDH577,23340,1556,11,3721970,Louis Gimberglaan to 12,76,BU05180476,Duinzigt,82313,457849,605,82313,457849,4.326.246.275.060.100,5.210.410.171.155.650
608,GDH580,5875,392,3,936893,Kloosterveenstraat 1,88,BU05183488,Morgenstond-West,78716,451718,608,78716,451718,4.275.123.415.903.590,5.204.852.027.409.930
610,GDH582,50929,3395,23,8121540,Mariastraat nabij 6,65,BU05182665,Bezuidenhout-midden,82946,455741,610,82946,455741,4.335.929.731.939.550,5.208.524.034.722.360
611,GDH583,33657,2244,16,5367108,Roelofsstraat 141,79,BU05180479,Van Hoytemastraat e.o.,82418,456523,611,82418,456523,4.328.060.987.057.670,52.092.199.042.992.600
612,GDH584,20451,1363,9,3261200,Loosduinsekade 601,84,BU05183284,Leyenburg,78208,453617,612,78208,453617,4.267.292.139.766.090,5.206.551.582.455.370
613,GDH585,43949,2930,20,7008392,Celebesstraat 1,46,BU05180546,Archipelbuurt,80577,456527,613,80577,456527,4.301.200.147.323.760,5.209.199.053.556.380
614,GDH586,61818,4121,29,9857875,Hooikade 15,12,BU05182812,Voorhout,81381,455777,614,81381,455777,43.130.922.852.525.000,5.208.535.798.864.010
617,GDH589,43752,2917,20,6976977,Tomatenstraat 182,53,BU05181953,Vruchtenbuurt,77117,453935,617,77117,453935,4.251.311.754.645.500,520.682.212.627.762
621,GDH593,19947,1330,9,3180873,Van Hogenhoucklaan 83,77,BU05180477,Waalsdorp,81699,457357,621,81699,457357,4.317.391.494.703.060,52.099.599.244.829.100
622,GDH594,37139,2476,17,5922406,Van Bylandtstraat 91,44,BU05182144,Koningsplein en omgeving,79500,454990,622,79500,454990,4.285.827.208.405.490,5.207.803.215.765.110
623,GDH595,29385,1959,14,4685981,Reijerskopstraat 46,121,BU05184421,Rietbuurt,87572,452566,623,87572,452566,4.404.040.803.166.160,5.205.728.940.690.110
624,GDH596,38869,2591,18,6198239,Cornelis Jolstraat 44,4,BU05180704,Visserijbuurt,79411.55,457815.24,624,79411.55,457815.24,4.283.910.863.576.040,521.034.095.946.151
625,GDH597,19251,1283,9,3069919,Klimopstraat 208,51,BU05181251,Bloemenbuurt-Oost,77792,454527,625,77792,454527,4.261.020.617.812.590,5.207.363.584.902.930
628,GDH600,33518,2235,15,5344951,Prins Mauritslaan 55D,7,BU05180907,Statenkwartier,78858,457010,628,78858,457010,42.760.125.636.275.400,520.960.973.044.326
632,GDH604,13570,905,6,2164016,Tomatenstraat 1,53,BU05181953,Vruchtenbuurt,77569,454238,632,77569,454238,4.257.834.029.845.300,5.207.100.758.047.180
633,GDH605,25368,1691,12,4045297,Burnierstraat nabij 31,77,BU05180477,Waalsdorp,81204,456880,633,81204,456880,4.310.271.563.386.990,5.209.524.679.401.340
634,GDH606,31174,2078,14,4971267,Douglaslaan 65,113,BU05184213,Singels,84752,450591,634,84752,450591,4.363.334.743.206.260,5.203.918.991.399.310
636,GDH608,20075,1338,9,3201258,Van Reesstraat 121,66,BU05182666,Bezuidenhout-Oost,83711,455673,636,83711,455673,4.347.103.586.033.260,5.208.472.827.202.560
637,GDH609,38767,2584,18,6182071,Walchersestraat nabij 20,100,BU05180800,Duindorp,77345,456188,637,77345,456188,4.254.123.654.895.180,5.208.850.011.602.470
640,GDH612,20846,1390,10,3324180,Spinozastraat 31,18,BU05182718,Huygenspark,81471,454315,640,81471,454315,4.314.720.241.923.630,5.207.223.130.271.540
641,GDH613,19176,1278,9,3057968,Hanenburglaan 2C,52,BU05181252,Bomenbuurt,78591,455459,641,78591,455459,4.272.464.281.807.190,5.208.212.222.421.930
642,GDH614,31380,2092,14,5004099,Dynamostraat 1,21,BU05183721,Groente- en Fruitmarkt,80846,452886,642,80846,452886,4.305.915.994.670.170,5.205.930.589.923.370
643,GDH615,72458,4831,33,11554609,Theo Mann-Bouwmeesterlaan 205,76,BU05180476,Duinzigt,82582,458194,643,82582,458194,4.330.098.697.400.260,52.107.237.412.983.000
644,GDH616,16247,1083,7,2590864,Woudenbergstraat 207,84,BU05183284,Leyenburg,78830,452835,644,78830,452835,4.276.535.987.141.950,5.205.857.410.290.220
645,GDH617,26610,1774,12,4243337,Akkerwindestraat 3,92,BU05181492,Bohemen en Meer en Bos,76360,454184,645,76360,454184,4.240.215.964.732.050,52.070.351.972.695.700
646,GDH618,27131,1809,13,4326561,Rabarberstraat 2A,54,BU05182054,Heesterbuurt,78429,453954,646,78429,453954,427.043.896.645.183,5.206.857.492.365.160
647,GDH619,44486,2966,21,7094078,Van Merlenstraat 101,44,BU05182144,Koningsplein en omgeving,79474,455291,647,79474,455291,4.285.381.363.453.040,5.208.073.360.613.390
648,GDH620,46134,3076,21,7356800,Tasmanstraat 182,45,BU05182245,Zeeheldenkwartier,79857,455466,648,79857,455466,4.290.929.286.930.480,5.208.235.838.540.420
649,GDH621,57725,3848,27,9205213,Salvador Allendestraat 99,86,BU05181786,Houtwijk,77574,453121,649,77574,453121,4.258.160.252.064.630,52.060.970.200.617.900
650,GDH622,41824,2788,19,6669525,Huijgensstraat 2,18,BU05182718,Huygenspark,81837,454408,650,81837,454408,4.320.037.839.639.390,5.207.311.554.098.050
651,GDH623,62037,4136,29,9892816,Borneostraat 62,46,BU05180546,Archipelbuurt,80652,456419,651,80652,456419,4.302.317.931.444.560,5.209.103.004.882.380
652,GDH624,31850,2123,15,5079013,Visdijk nabij 36,114,BU05184214,Waterbuurt,84888,450001,652,84888,450001,43.654.376.228.141.700,52.033.904.835.525.100
654,GDH626,46171,3078,21,7362691,Brusselselaan to 26,74,BU05180374,Duttendel,80335,458257,654,80335,458257,42.972.904.305.354,52.107.504.921.148.800
657,GDH629,56712,3781,26,9043620,Riouwstraat 40,46,BU05180546,Archipelbuurt,80426,456512,657,80426,456512,42.990.003.696.544.900,5.209.183.541.302.560
658,GDH630,16206,1080,7,2584370,Waterlandsingel 45,103,BU05184003,Parkbuurt oosteinde,80028,449171,658,80028,449171,4.294.805.057.163.050,5.202.580.999.032.170
659,GDH631,25201,1680,12,4018781,Wildhoeflaan 45,9,BU05181309,Vogelwijk,76837,454974,659,76837,454974,4.246.990.894.822.150,520.775.189.059.533
660,GDH632,27497,1833,13,4384890,Lopikstraat 11,84,BU05183284,Leyenburg,78435,452943,660,78435,452943,4.270.753.156.220.460,5.205.949.022.362.410
661,GDH633,61175,4078,28,9755400,Meerkoetstraat 2,112,BU05184212,Morgenweide,85882,451454,661,85882,451454,4.379.627.598.832.030,5.204.708.769.269.100
662,GDH634,15038,1002,7,2397980,Orionstraat 3,60,BU05183960,Binckhorst,83234,454004,662,83234,454004,4.340.496.329.410.260,52.069.667.638.959.100
663,GDH635,30095,2006,14,4799194,Volkerakstraat 2,64,BU05182664,Bezuidenhout-West,82698,454950,663,82698,454950,4.332.479.620.442.550,5.207.809.945.811.810
664,GDH636,61100,4073,28,9743404,Wassenaarseweg 6,78,BU05180478,Arendsdorp,81381,456342,664,81381,456342,4.312.970.320.031.620,5.209.043.549.959.040
665,GDH637,41004,2734,19,6538745,Buizerdlaan 2,112,BU05184212,Morgenweide,86154,451899,665,86154,451899,4.383.502.473.748.790,5.205.112.074.267.190
852,GDH830,48,3,0,7610,Ruijsdaelstraat 45A,15,BU05182915,Schildersbuurt-West,8.025.793.994,4.539.732.486,852,8.025.793.994,4.539.732.486,4.297.104.599.372.990,5.206.899.770.682.070
903,GDH895,280,19,0,44677,Laan van Wateringse Veld 901,103,BU05184003,Parkbuurt oosteinde,7.948.880.415,4.493.012.655,903,7.948.880.415,4.493.012.655,4.286.921.199.373.400,5.202.690.750.646.030
919,GDH916,868,58,0,138399,Pauwenlaan 22,9,BU05181309,Vogelwijk,7.731.420.065,4.554.777.886,919,7.731.420.065,4.554.777.886,4.253.836.099.395.530,5.208.211.340.676.360
929,GDH942,844,56,0,134581,Madridweg 57,105,BU05184005,Zonne Veld,8.011.477.515,448.426.251,929,8.011.477.515,448.426.251,42.962.321.994.360.400,5.201.912.880.624.070
930,GDH943,1459,97,1,232706,Toppereendstraat 1,120,BU05184420,De Vissen,8.798.893.828,4.537.350.128,930,8.798.893.828,4.537.350.128,440.988.989.949.077,5.206.784.590.625.910
932,GDH946,103,7,0,16372,Casuariestraat to 3,12,BU05182812,Voorhout,8.151.298.953,4.553.342.021,932,8.151.298.953,4.553.342.021,4.315.113.099.416.670,52.081.396.206.429.500
934,GDH949,105,7,0,16691,Pisuissestraat 243,90,BU05181590,Ockenburgh,7.539.246.451,4.526.296.625,934,7.539.246.451,4.526.296.625,422.646.929.925.041,52.056.245.606.618.100
937,GDH955,0,0,0,0,columbusstraat 33,44,BU05182144,Koningsplein en omgeving,7.908.997.818,4.551.242.767,937,7.908.997.818,4.551.242.767,4.279.817.099.396.510,5.207.918.280.632.130
939,GDH957,191,13,0,30494,Laan van Wateringse Veld 1394,104,BU05184004,Lage Veld,8.001.134.153,4.486.388.377,939,8.001.134.153,4.486.388.377,4.294.678.999.358.340,5.202.102.530.676.090
940,GDH958,304,20,0,48434,cartesiusstraat 83,55,BU05182055,Valkenboskwartier,7.911.017.484,4.544.946.708,940,7.911.017.484,4.544.946.708,4.280.251.699.449.840,52.073.527.506.531.700
941,GDH959,113,8,0,17984,Irisplein 48,51,BU05181251,Bloemenbuurt-Oost,775.749.645,4.546.493.212,941,775.749.645,4.546.493.212,4.257.827.699.426.600,52.074.704.806.331.200
